69,29,Ⅰ-29,拉仁布与吉门索,民间文学,"2006
(第一批)",新增项目,青海省互助土族自治县,互助土族自治县文化馆
70,30,Ⅰ-30,畲族小说歌,民间文学,"2006
(第一批)",新增项目,福建省霞浦县,霞浦县福宁文化艺术交流中心
71,31,Ⅰ-31,青林寺谜语,民间文学,"2006
(第一批)",新增项目,湖北省宜都市,宜都市文化馆（宜都市文艺创作室）
72,31,Ⅰ-31,谜语（澄海灯谜）,民间文学,"2008
(第二批)",扩展项目,广东省汕头市澄海区,汕头市澄海区文化馆
73,519,Ⅰ-32,八达岭长城传说,民间文学,"2008
(第二批)",新增项目,北京市延庆县,北京市延庆区文物管理所
74,520,Ⅰ-33,永定河传说,民间文学,"2008
(第二批)",新增项目,北京市石景山区,北京市石景山区非物质文化遗产保护中心
75,521,Ⅰ-34,杨家将传说（穆桂英传说）,民间文学,"2008
(第二批)",新增项目,北京市房山区,北京市房山区燕山文化馆
76,521,Ⅰ-34,杨家将传说（杨家将说唱）,民间文学,"2008
(第二批)",新增项目,山西省,山西大学非物质文化遗产研究中心
77,521,Ⅰ-34,杨家将传说（杨七郎墓传说）,民间文学,"2014
(第四批)",扩展项目,天津市宁河县,天津市宁河区文化馆
78,522,Ⅰ-35,尧的传说,民间文学,"2008
(第二批)",新增项目,山西省绛县,绛县文化馆
79,522,Ⅰ-35,尧的传说,民间文学,"2011
(第三批)",扩展项目,山东省菏泽市牡丹区,菏泽市牡丹区文化馆
80,523,Ⅰ-36,牛郎织女传说,民间文学,"2008
(第二批)",新增项目,山西省和顺县,和顺县文化馆
81,523,Ⅰ-36,牛郎织女传说,民间文学,"2008
(第二批)",新增项目,山东省沂源县,沂源县文化馆
82,523,Ⅰ-36,牛郎织女传说,民间文学,"2011
(第三批)",扩展项目,陕西省西安市长安区,西咸新区沣东新城斗门街道办事处
83,524,Ⅰ-37,西湖传说,民间文学,"2008
(第二批)",新增项目,浙江省杭州市,杭州图书馆
84,525,Ⅰ-38,刘伯温传说,民间文学,"2008
(第二批)",新增项目,浙江省文成县,文成县非物质文化遗产保护中心
85,525,Ⅰ-38,刘伯温传说,民间文学,"2008
(第二批)",新增项目,浙江省青田县,青田县刘基研究会
86,526,Ⅰ-39,黄初平（黄大仙）传说,民间文学,"2008
(第二批)",新增项目,浙江省金华市,金华黄大仙文化研究会
87,527,Ⅰ-40,观音传说,民间文学,"2008
(第二批)",新增项目,浙江省舟山市,舟山市普陀山风景名胜区管理委员会
88,528,Ⅰ-41,徐福东渡传说,民间文学,"2008
(第二批)",新增项目,浙江省象山县,象山县文化馆
89,528,Ⅰ-41,徐福东渡传说,民间文学,"2008
(第二批)",新增项目,浙江省慈溪市,慈溪市徐福研究会
90,528,Ⅰ-41,徐福传说,民间文学,"2011
(第三批)",扩展项目,山东省胶南市,青岛市黄岛区琅琊暨徐福研究会
91,528,Ⅰ-41,徐福传说,民间文学,"2011
(第三批)",扩展项目,山东省青岛市黄岛区,青岛市黄岛区文化馆
92,528,Ⅰ-41,徐福传说,民间文学,"2011
(第三批)",扩展项目,江苏省赣榆县,连云港市赣榆区金山镇文化站
93,529,Ⅰ-42,陶朱公传说,民间文学,"2008
(第二批)",新增项目,山东省定陶县,菏泽市定陶区文化馆
94,530,Ⅰ-43,麒麟传说,民间文学,"2008
(第二批)",新增项目,山东省巨野县,巨野县文化馆
95,530,Ⅰ-43,麒麟传说,民间文学,"2008
(第二批)",新增项目,山东省嘉祥县,嘉祥县文化馆
96,531,Ⅰ-44,鲁班传说,民间文学,"2008
(第二批)",新增项目,山东省曲阜市,曲阜市文化馆
97,531,Ⅰ-44,鲁班传说,民间文学,"2008
(第二批)",新增项目,山东省滕州市,山东省滕州市文化馆
98,532,Ⅰ-45,八仙传说,民间文学,"2008
(第二批)",新增项目,山东省蓬莱市,蓬莱市文化馆
99,533,Ⅰ-46,秃尾巴老李的传说,民间文学,"2008
(第二批)",新增项目,山东省即墨市,青岛圣龙山旅游开发有限公司
100,533,Ⅰ-46,秃尾巴老李的传说,民间文学,"2008
(第二批)",新增项目,山东省莒县,莒县文化馆
101,533,Ⅰ-46,秃尾巴老李的传说,民间文学,"2008
(第二批)",新增项目,山东省文登市,威海市文登区文化馆（威海市文登区非物质文化遗产保护中心）
102,533,Ⅰ-46,秃尾巴老李的传说,民间文学,"2008
(第二批)",新增项目,山东省诸城市,诸城市文化馆
103,534,Ⅰ-47,屈原传说,民间文学,"2008
(第二批)",新增项目,湖北省秭归县,秭归县文化馆（县文艺创作室、县非物质文化遗产保护中心）
104,535,Ⅰ-48,王昭君传说,民间文学,"2008
(第二批)",新增项目,湖北省兴山县,兴山县文化馆
105,536,Ⅰ-49,炎帝神农传说,民间文学,"2008
(第二批)",新增项目,湖北省随州市,随县文化馆（随县非物质文化遗产保护中心）
106,536,Ⅰ-49,炎帝神农传说,民间文学,"2008
(第二批)",新增项目,湖北省神农架林区,神农架林区群众艺术馆
107,537,Ⅰ-50,木兰传说,民间文学,"2008
(第二批)",新增项目,河南省虞城县,虞城县文化馆
108,537,Ⅰ-50,木兰传说,民间文学,"2008
(第二批)",新增项目,湖北省武汉市黄陂区,武汉市黄陂区文化馆
109,537,Ⅰ-50,木兰传说,民间文学,"2011
(第三批)",扩展项目,陕西省延安市宝塔区,延安市宝塔区文化馆
110,538,Ⅰ-51,巴拉根仓的故事,民间文学,"2008
(第二批)",新增项目,内蒙古自治区通辽市,通辽市群众艺术馆
111,539,Ⅰ-52,北票民间故事,民间文学,"2008
(第二批)",新增项目,辽宁省北票市,北票市文化体育事业服务中心
112,540,Ⅰ-53,满族民间故事,民间文学,"2008
(第二批)",新增项目,辽宁省文学艺术界联合会民间文艺家协会,辽宁省文化遗产保护中心（辽宁省文物保护中心、辽宁省非物质文化遗产保护中心）
113,541,Ⅰ-54,徐文长故事,民间文学,"2008
(第二批)",新增项目,浙江省绍兴市,绍兴市文化馆、绍兴市非物质文化遗产保护中心
114,542,Ⅰ-55,崂山民间故事,民间文学,"2008
(第二批)",新增项目,山东省青岛市崂山区,青岛市崂山区非物质文化遗产保护协会
115,543,Ⅰ-56,都镇湾故事,民间文学,"2008
(第二批)",新增项目,湖北省长阳土家族自治县,长阳土家族自治县民族民间传统文化保护中心
116,544,Ⅰ-57,盘古神话,民间文学,"2008
(第二批)",新增项目,河南省桐柏县,桐柏县人民文化馆
117,544,Ⅰ-57,盘古神话,民间文学,"2008
(第二批)",新增项目,河南省泌阳县,泌阳县人民文化馆
118,545,Ⅰ-58,邵原神话群,民间文学,"2008
(第二批)",新增项目,河南省济源市,济源市邵原镇女娲文化研究基地
119,546,Ⅰ-59,嘎达梅林,民间文学,"2008
(第二批)",新增项目,内蒙古自治区科尔沁左翼中旗,科尔沁左翼中旗文化研究室
120,547,Ⅰ-60,科尔沁潮尔史诗,民间文学,"2008
(第二批)",新增项目,内蒙古自治区,内蒙古师范大学
121,548,Ⅰ-61,仰阿莎,民间文学,"2008
(第二批)",新增项目,贵州省黔东南苗族侗族自治州,黔东南苗族侗族自治州文化研究所
122,549,Ⅰ-62,布依族盘歌,民间文学,"2008
(第二批)",新增项目,贵州省盘县,盘州市非物质文化遗产保护中心
123,550,Ⅰ-63,梅葛,民间文学,"2008
(第二批)",新增项目,云南省楚雄彝族自治州,楚雄彝族自治州文化馆
124,551,Ⅰ-64,查姆,民间文学,"2008
(第二批)",新增项目,云南省双柏县,双柏县文化馆
125,552,Ⅰ-65,达古达楞格莱标,民间文学,"2008
(第二批)",新增项目,云南省德宏傣族景颇族自治州,德宏州文化馆
126,553,Ⅰ-66,哈尼哈吧,民间文学,"2008
(第二批)",新增项目,云南省元阳县,元阳县文化馆
127,554,Ⅰ-67,召树屯与喃木诺娜,民间文学,"2008
(第二批)",新增项目,云南省西双版纳傣族自治州,西双版纳傣族自治州文化馆
128,555,Ⅰ-68,米拉尕黑,民间文学,"2008
(第二批)",新增项目,甘肃省东乡族自治县,东乡族自治县文化馆
129,556,Ⅰ-69,康巴拉伊,民间文学,"2008
(第二批)",新增项目,青海省治多县,治多县政府民族语言文字工作办公室
130,557,Ⅰ-70,汗青格勒,民间文学,"2008
(第二批)",新增项目,青海省海西蒙古族藏族自治州,海西蒙古族藏族自治州民族文化活动中心（海西蒙古族藏族自治州群众艺术馆）
131,558,Ⅰ-71,维吾尔族达斯坦,民间文学,"2008
(第二批)",新增项目,新疆维吾尔自治区,新疆维吾尔自治区民间文艺家协会
132,559,Ⅰ-72,哈萨克族达斯坦,民间文学,"2008
(第二批)",新增项目,新疆维吾尔自治区文学艺术界联合会民间文艺家协会,新疆维吾尔自治区民间文艺家协会
133,559,Ⅰ-72,哈萨克族达斯坦,民间文学,"2008
(第二批)",新增项目,新疆维吾尔自治区沙湾县,沙湾县文化馆
134,559,Ⅰ-72,哈萨克族达斯坦,民间文学,"2008
(第二批)",新增项目,新疆维吾尔自治区福海县,福海县文化馆
135,560,Ⅰ-73,珠郎娘美,民间文学,"2008
(第二批)",新增项目,贵州省榕江县,榕江县非物质文化遗产保护中心
136,560,Ⅰ-73,珠郎娘美,民间文学,"2008
(第二批)",新增项目,贵州省从江县,从江县非物质文化遗产保护中心
137,561,Ⅰ-74,司岗里,民间文学,"2008
(第二批)",新增项目,云南省沧源佤族自治县,沧源佤族自治县文化馆
138,561,Ⅰ-74,司岗里,民间文学,"2011
(第三批)",扩展项目,云南省西盟佤族自治县,西盟佤族自治县文化馆
139,562,Ⅰ-75,彝族克智,民间文学,"2008
(第二批)",新增项目,四川省美姑县,美姑县文化馆
140,563,Ⅰ-76,苗族贾理,民间文学,"2008
(第二批)",新增项目,贵州省黔东南苗族侗族自治州,黔东南苗族侗族自治州文化研究所
141,564,Ⅰ-77,藏族婚宴十八说,民间文学,"2008
(第二批)",新增项目,青海省,青海省文化馆
142,565,Ⅰ-78,童谣（北京童谣）,民间文学,"2008
(第二批)",新增项目,北京市宣武区,北京市宣武师范学校附属第一小学
143,565,Ⅰ-78,童谣（闽南童谣）,民间文学,"2008
(第二批)",新增项目,福建省厦门市,厦门市集美区灌口小学（福建省厦门实验小学集美分校）
144,565,Ⅰ-78,童谣（绍兴童谣）,民间文学,"2014
(第四批)",扩展项目,浙江省绍兴市,绍兴市文化馆、绍兴市非物质文化遗产保护中心
145,565,Ⅰ-78,童谣（纳西族童谣）,民间文学,"2021
(第五批)",扩展项目,云南省丽江市古城区,古城区非物质文化遗产保护管理中心
146,566,Ⅰ-79,桐城歌,民间文学,"2008
(第二批)",新增项目,安徽省桐城市,桐城市文化馆
147,567,Ⅰ-80,土家族梯玛歌,民间文学,"2008
(第二批)",新增项目,湖南省龙山县,龙山县非物质文化遗产保护中心
148,568,Ⅰ-81,雷州歌,民间文学,"2008
(第二批)",新增项目,广东省雷州市,雷州市雷歌研究会
149,569,Ⅰ-82,壮族嘹歌,民间文学,"2008
(第二批)",新增项目,广西壮族自治区平果县,平果县民俗文化传承展示中心
150,570,Ⅰ-83,柯尔克孜约隆,民间文学,"2008
(第二批)",新增项目,新疆维吾尔自治区阿克陶县,新疆阿克陶县文化馆
151,570,Ⅰ-83,柯尔克孜约隆,民间文学,"2008
(第二批)",新增项目,新疆师范大学,新疆师范大学
152,571,Ⅰ-84,笑话（万荣笑话）,民间文学,"2008
(第二批)",新增项目,山西省万荣县,万荣县笑话研究会
153,1029,Ⅰ-85,天坛传说,民间文学,"2011
(第三批)",新增项目,北京市东城区,北京市东城区第二文化馆（北京市东城区非物质文化遗产保护中心）
